বাঙ্গালী জাতির পরিচয় কি?	উঃ শংকর জাতি হিসেবে।			
চন্দ্রগুপ্ত কোন বংশের রাজাকে পরাজিত করে মগধ্ দখল করেন?	উঃ নন্দবংশের শেষ রাজাকে।			
ইন্ডিকা (Indika) নামক বিবরনমুলক গ্রন্থের লেখক কে?	উঃ মেগাস্থিনিস।			
‘অর্থশাস্ত্র’ গ্রন্থটির লেখক কে ?	উঃ কৌটিল্য।			
কৌটিল্য আসলে কে কে?	উঃ চন্দ্রগুপ্তের প্রধান পরামর্শদাতা ও সাহায্যকারী চানক্য ও বিষ্ণুগুপ্ত।			
মৌর্য সাম্রাট অশোক কার পুত্র ?	উঃ বিন্দু সারের।			
অশোক কলিঙ্গ জয়ে বের হন কত খ্রিষ্ট পূর্বাব্দে ?	উঃ ২৬০ খ্রিস্ট পূর্বাব্দে।			
মৌর্য যুগে বাংলার প্রাদেশিক রাজধানী কোথায় ছিল?	উঃ পুন্ডনগর।
গুপ্ত সাম্রাজ্যের প্রতিষ্ঠাতা কে?	উঃ ১ম চন্দ্রগুপ্ত (শ্রী-গুপ্ত) ।			
গুপ্ত সাম্রাজ্যের গোড়া পত্তন হয়?	উঃ ৩২০ খ্রিঃ পূর্বাব্দে।			
গুপ্তযুগে বঙ্গের ভাগ কয়টি ছিল?	উঃ দুটি			
গুপ্ত বংশের শ্রেষ্ঠ রাজা কে?	উঃ সমুদ্রগুপ্ত।			
বিক্রমাদিত্য কার উপাধী ছিল?	উঃ দ্বিতীয় চন্দ্রগুপ্ত।			
অজান্তার গুহাচিত্র কোন যুগের সৃস্টি?	উঃ গুপ্তযুগের।			
কোন সম্রাটকে ভারতীয় নেপোলিয়ন বলা হত?	উঃ সমুদ্রগুপ্তকে।			
সর্ব প্রথম কোন চীনা পরিব্রাজক ভারতবর্ষে আগমন করেন?	উঃ ফা-ইয়েন।			
ফা-হিয়েন কার সময়ে ভারতবর্ষ পরিভ্রমন করেন ?	উঃ দ্বিতীয় চন্দ্রগুপ্ত।			
ফা-হিয়েনের ভারত পরিভ্রমনের কারণ কি ছিল?	উঃ বৌদ্ধ ধর্মপুস্তক ‘বিনায়াপিটক’ এর মূল রচনা সংগ্রহ করা।			
ফা-হিয়েন কত বছর ভারতবর্ষে অবস্থান করেন?	উঃ তিন বছর।			
গুপ্ত সাম্রাজ্যের পতন ঘটে কখন?	উঃ স্কন্দগুপ্তের বিক্রমাদিত্যের জীবনাবসনে।			
গুপ্ত বংশের রাজত্বকাল স্থায়ী হয়েছিল?	উঃ ৩২০-৫৫০ খ্রিঃ			
গুপ্ত বংশের মধ্যে স্বাধীন ও শক্তিশালী রাজা কে ছিলেন ?	উঃ ১ম চন্দ্রগুপ্ত।			
১ম চন্দ্রগুপ্তের উপাধি কি ছিল?	উঃ রাজাধিরাজ।			
সমূদ্রগুপ্ত কখন সিংহাসনে আরোহন করেছিল?	উঃ ৩৩৫ খ্রিঃ।			
সমূদ্রগুপ্ত কত বছর রাজ্য শাসন করেন?	উঃ ৪৫ বছর (৩৮০ খ্রিঃ পর্যন্তু)।			
সমূদ্রগুপ্তের পিতা কে ছিলেন?	উঃ ১ম চন্দ্রগুপ্ত।			
মহাকবি কালিদাস কোন রাজার সভাকবি ছিলেন?	উঃ ২য় চন্দ্রগুপ্ত।			
২য় চন্দ্রগুপ্ত-এর রাজত্বকাল ছিল?	উঃ ৩৮০-৪১৩ খ্রিঃ			
কখন সম্রাট আলেকজান্ডার ভারতবর্ষে আগমন করেন?	উঃ খ্রীস্টপূর্ব ৩২৭ অব্দে।			
আলেকজান্ডারের গৃহ শিক্ষক কে ছিলেন?	উঃ এরিস্টটল।
কে স্বাধীন গৌড় রাজ্য প্রতিষ্ঠা করেন?	উঃ শশাঙ্ক।			
গৌড় রাজ্য প্রতিষ্ঠিত হয়?	উঃ ৬০৬ সালে।			
গৌড় রাজ্যের রাজধানীর নাম কি ছিল?	উঃ কর্ণসুবর্ণ			
কে গৌড়ের স্বাধীন নরপতি ছিলেন?	উঃ শশাঙ্ক।			
গৌড় বংশের শক্তিশালী রাজা কে ছিলেন?	উঃ শশাঙ্ক।			
শশাঙ্কের রাজধানী কোথায় ছিল?	উঃ কর্ণসুবর্ণ।			
শশাঙ্কের উপাধি কি ছিল?	উঃ মহাসামন্ত।			
হিউয়েন সাঙ কাকে বৌদ্ধধর্মের নিগ্রহকারী হিসেবে অবিহিত করেছেন?	উঃ শশাংঙ্ককে।			
শশাঙ্কের পর গৌড় রাজ্য কে দখল করেন?	উঃ হর্ষবর্ধন।			
আবররা কখন সিন্ধু আক্রমন করে?	উঃ ৭১২ খ্রিষ্টাব্দে।
পাল বংশের প্রতিষ্ঠাতা কে?	উঃ গোপাল।			
গোপালের রাজত্বকাল কত ছিল?	উঃ ৭৫০ থেকে ৭৭০ খ্রিষ্টাব্দ পর্যন্ত ২০ বছর।			
পাল বংশের রাজাগণ বাংলায় কত বছর রাজত্ব করেছেন?	উঃ প্রায় চারশ বছর।			
পাল রাজারা কোন ধর্মালম্বী ছিলেন?	উঃ বৌদ্ধ।			
বাংলার দীর্ঘস্থায়ী রাজবংশ কোনটি?	উঃ পাল বংশ।			
পাল বংশের শ্রেষ্ঠ রাজা কে?	উঃ ধর্মপাল।			
গোপালের পরে কে বঙ্গ দেশের সিংহাসনে আসীন হন?	উঃ ধর্মপাল।			
ধর্মপাল বৌদ্ধ ধর্মপ্রসারে কোন মন্দির স্থাপন করেন?	উঃ ১০৭ মন্দির সম্পন্ন বিক্রমশীলা বৌদ্ধ বিহার, পাহাড়পুরের সোমপুর বিহার, ময়নামতি বিহার ইত্যাদি।
ধর্মপালের রাজত্বকাল কত ছিল?	উঃ ৭৭০ থেকে ৮১০ খ্রিষ্টাব্দে পর্যন্ত ৪০ বছর।			
নওগাঁ জেলার পাহাড়পুরে অবস্থিত ‘সোমপুর বিহার’ -এর প্রতিষ্ঠাতা কে?	উঃ ধর্মপাল।			
লৌসেন (Lausen) কে?	উঃ রাজা দেবপালের (৮১০-৮৫০ খ্রিঃ) সেনাপতি।			
‘উদীয়মান প্রতিপত্তির যুগ’ বলা হয় কার শাসনামলকে?	উঃ দেবপালের।			
কবে পাল সাম্রাজ্যের বিলুপ্তি ঘটে ?	উঃ ১১২৪ খ্রিষ্ঠাব্দে।
চন্দ্রবংশের শাসনকাল কত শতক পর্যন্তু বিস্তৃত ছিল?	উঃ ১০ম- ১১শ শতক।			
চন্দ্রবংশের প্রথম শক্তিশালী রাজা কে?	উঃ ত্রৈলোক্যচন্দ্র।			
ত্রৈলোক্যচন্দ্র আনুমানিক কত সময় রাজত্ব করেছেন?	উঃ ৯০০-৯৩০ খ্রিঃ।			
রমেশ্বর, পরম ভট্টারক, মহারাজাধিরাজ উপাধী কার ছিল?	উঃ শ্রীচন্দ্রের।			
শ্রীচন্দ্র কত সময় রাজত্ব করেছেন?	উঃ ৯৩০-৯৭৫ খ্রিঃ।
বেদ রাজবংশের রাজাদের রাজধানী নাম কি ছিল?	উঃ দেবপর্বত।			
দেবপর্বত কোথায় অবস্থিত ছিল?	উঃ কুমিল্লার ময়নামতি পাহাড়ের দক্ষিনাংশে।			
দেববংশের রাজত্বকাল কখন ছিল বলে অনুমান করা হয়?	উঃ ৭৪০-৮৯৯ খ্রিঃ
সেন বংশের প্রথম রাজা ও প্রতিষ্ঠাতা কে?	উঃ সামন্ত সেন।			
সেন রাজাদের পূর্ব পুরুষগণ কোন দেশের অধিবাসী ছিলেন?	উঃ দাক্ষিণাত্যের কর্ণাটক।			
কার শাসনামলে বাংলা সর্বপ্রথম এক শাসনাধীন আসে?	উঃ বিজয় সেনের।			
বিজয় সেনের রাজত্বকাল কোন সময় পর্যন্ত বিস্তৃত ছিল?	উঃ ১০৯৮-১১৬০ খ্রিঃ			
সেন বংশের সর্বপ্রথম সার্বভৌম রাজা কে?	উঃ বিজয় সেন।			
সেন বংশের শ্রেষ্ঠ সম্রাট কে?	উঃ বিজয় সেন।			
বিজয় সেনের দ্বিতীয় রাজধানী কোথায়?	উঃ ঢাকা জেলার বিক্রমপুরে (রামপাল)।			
কৌলিন্য প্রথার প্রবর্তক কে?	উঃ বল্লাল সেন।			
সেন বংশের সর্বশেষ রাজা কে?	উঃ লক্ষন সেন।			
বাংলার শেষ হিন্দু রাজা কে ছিলেন?	উঃ লক্ষন সেন।			
সেন রাজাদের মধ্যে গৌড়েশ্বর উপাধী কার ছিল?	উঃ লক্ষন সেন।			
লক্ষন সেনের রাজধানী কোথায় কোথায় ছিল?	উঃ গৌড় ও নদীয়ায়।			
সেন বংশের অবসান ঘটে কবে?	উঃ ত্রয়োদশ শতকে।			
কোন বাঙালী নালন্দা বিশ্ববিদ্যালয়ের মহাধ্যক্ষ পদ অলংকৃত করেন?	উঃ শীলভদ্র।			
ইখতিয়ার উদ্দিন মুহম্মদ বখতিয়ার খিলজী কবে নদীয়া আক্রমন করে?	উঃ ১২০৪ খ্রিঃ।			
কোন শতকে বাংলায় মুসলিম আধিপত্য প্রতিষ্ঠিত হয়?	উঃ ত্রয়োদশ শতকে।			
সুলতান মাহমুদ ভারতবর্ষ আক্রমন করে কত বার?	উঃ ১৭ বার।			
সুলতাল মাহমুদ কোন সালে ভারত আক্রমন করেন?	উঃ ১০০০ সালে।			
সুলতান মাহমুদ কে ছিলেন?	উঃ গজনীর অধিপতি।			
মুহম্মদ ঘুরী ও পৃথ্বীরাজের মধ্যে কোন যুদ্ধ অনুষ্ঠিত হয়?	উঃ তরাইনের প্রথম যুদ্ধ।			
পরিব্রাজক ইবনে বতুতা কার সময়ে দিল্লীতে আসেন?	উঃ মুহাম্মদ বিন তুঘলক।			
ইবনে বতুতা কোন দেশের অধিবাসী ছিলেন?	উঃ উত্তর আফ্রিকার মরক্কো।			
পূর্বে বলঘকপুর বা বিদ্রোহের দেশ নামে পরিচিতি ছিল?	উঃ বাংলা।			
দিল্লীর সিংহাসনে আরোহনকারী প্রথম মুসলমান নারী কে?	উঃ সুলতানা রাজিয়া।			
সুলতান মাহমুদের সভাকবি কে ছিলেন?	উঃ মহা কবি ফেরদৌসি।			
নামকরা দার্শনিক ও জ্যের্তিবিদ আল বিরুনী কার রাজ সভায় কর্মরত ছিলেন?	উঃ সুলতান মাহমুদের।			
ইবনে বতুতা কেন বাংলাদেশকে ‘ধনসম্পদপূণ নরক’ বা ‘দোযখপুর নিয়ামত’ বলেন?	উঃ সম্পদের প্রাচুর্য ও প্রতিকূল আবহাওয়ার জন্য।			
বাংলার অপরূপ বর্ণনা পাওয়া যায় ইবনে বতুতার কোন গ্রন্থে?	উঃ ‘কিতাবুল রেহালা’।			
সুলতান মাহমুদ বারবার ভারত আক্রমনের কারন কি ছিল ?	উঃ ধনসম্পদ লুট করার জন্য।			
দিল্লী হতে রাজধানী দেবগিরিতে স্থানান্তর করেন কে?	উঃ মুহম্মদ বিন তুঘলক।			
ভারতে কে সর্বপ্রথম তুর্কী সাম্রাজ্য বিন্তার করেন?	উঃ মুহাম্মদ ঘুরী।			
ভারতে তুর্কী সাম্রাজ্যের প্রকৃত প্রতিষ্ঠাতা কে?	উঃ কুতুবউদ্দিন আইবেক।			
কুতুবউদ্দিন আইবেক মৃত্যুবরন করেন কবে?	উঃ ১২১০ সালে।			
কোন সুলতান ‘সুলতানই আজম’ খেতাবে ভুষিত হন?	উঃ সুলতান ইলতুৎমিশ।			
দিল্লীর কুতুব মিনার কে নির্মান করেন?	উঃ সুলতান কুতুবউদ্দিন-এর সময় নির্মান শুরু এবং ইলতুৎমিশের প্রত্যক্ষ পৃষ্ঠপোষকতায় সমাপ্ত।
মুহমদ বিন তুঘলক (উলুখ খান) কোন সালে দিল্লীর সিংহাসনে আসীন হয়?	উঃ ১৩২৫ সালে।			
ইব্রাহীম লোদী সিংহাসনে আরোহন করেন কবে?	উঃ ১৫১৭ সালে।			
পানি পথের প্রথম যুদ্ধ কবে সংঘটিত হয়?	উঃ ১৫২৬ সালে।			
পানি পথের প্রথম য্দ্ধু কার কার মধ্যে সংঘঠিত হয়?	উঃ ইব্রাহিম লোদী ও সম্রাট বাবরের মধ্যে।			
কাকে ‘শাহ-ই- বাঙাল’ উপাধিতে ভুষিত করা হয় ?	উঃ সমগ্র বাংলার প্রথম সুলতান শামছুদ্দীন ইলিয়াস শাহ।			
বাংলার সুলতানদের মধ্যে সর্বশ্রেষ্ঠ সুলতান কে ছিলেন?	উঃ আলাউদ্দিন হোসেন শাহ।			
নাসিরউদ্দিন মাহমুদ কবে বাংলার সিংহাসনে বসেন?	উঃ ১৪৪২ সালে।			
কে জালাল উদ্দিন মুহম্মদ নাম ধারন করে বাংলার সিংহাসনে আরোহণ করেন?	উঃ রাজা গণেশের ছেলে যদু সেন।			
কার পৃষ্ঠপোষকতায় বাংলায় মহাভারত রচিত হয়?	উঃ পরাগল খান ও ছুটি খান।			
কোন মুসলমান সুলতান সর্বপ্রথম সমগ্র বাংলার অধিপতি হন ?	উঃ ইলিয়াস শাহ।			
মালদহের বড় পান্ডু্রয়ার বিখ্যাত আদিনা মসজিদ কে নির্মান করেন?	উঃ সিকান্দার শাহ।			
গৌড়ের কদম রসুল ও বড় সোনা মসজিদ নির্মান করেন কে ?	উঃ নসরত শাহ।			
উত্তর আফ্রিকার পর্যটক ইবনে বতুতা পূর্ব বাংলায় কার আমলে এসেছিলেন ?	উঃ মুহম্মদ বিন তুঘলক।			
কার শাসনামলে পীর খানজাহান আলী খুলনা অঞ্চলে ইসলাম ধর্ম প্রচারে নিয়োজিত হন ?	উঃ নাসিরুদ্দীন মুহাম্মদ শাহ।	
বাংলার কোন শাসনকর্তার সময় হযরত শাহজালাল (রাঃ) ধর্ম প্রচারে বাংলায় আসেন?	উঃ সুলতান শামসুদ্দিন ফিরোজ শাহ।			
আলাউদ্দিন হোসেন শাহের রাজধানী ছিল কোথায় ?	উঃ একডালা।			
সুলতানী আমলে লোকেরা বেচাকেনার জন্য ব্যবহার করত ?	উঃ রৌপ্য মুদ্রা।			
কোন বিজেতা অশ্ববিক্রেতার বেশে নদীয়া আক্রমন করেন ?	উঃ বখতিয়ার খলজি।			
বখতিয়ার খলজি কোন স্থানে মৃত্যুবরন করেন ?	উঃ দেবকোটে।			
কতজন সৈন্য নিয়ে বখতিয়ার খলজি বাংলাদেশ জয় করেন ?	উঃ ১৭ জন।
মুঘল সাম্রাজ্যের প্রতিষ্ঠাতা কে ?	উঃ জহিরউদ্দীন মুহাম্মদ বাবর।			
বাবরের মৃত্যু পর বাংলার মসনদে কে উপবিষ্ট হন ?	উঃ নাসির উদ্দীন মুহম্মদ হুমায়ুন।			
কোন যুদ্ধের ফলে বাংলাদেশ মুঘল সাম্রাজ্যের অর্ন্তভুক্তি হয়?	উঃ রাজমহলের যুদ্ধে।			
লালবাগ কেল্লার সামনের এক গম্বুজওয়ালা কারুকাজ মন্ডিত স্থাপত্য নিদর্শন কি?	উঃ পরিবিবির মাজার।			
লালবাগে পরিবিবির সমাধিসৌধ কে তৈরী করেন ?	উঃ শায়েস্তা খান।			
পরিবিবি কে ছিলেন ?	উঃ নবাব শায়েস্তার খানের কন্যা।			
পরিবিবির আমল নাম কি?	উঃ ইরান দুখত।			
পরিবিবির মৃত্যু হয় কোন সালে?	উঃ ১৬৮৪ সালে।			
শায়েস্তা খান কে ছিলেন?	উঃ শাহজাহানের প্রধানমন্ত্রী আসক খানের ছেলে।			
শায়েস্তা খানের পূর্ন নাম কি?	উঃ মির্জা আবু তালেব ওরফে শায়েস্তা খান।			
শায়েস্তা খান কোন সালে সুবেদার হয়ে বাংলায় আসেন?	উঃ ১৬৬৪ সালে।			
শায়েস্তা খান কোন সালে দ্বিতীয়বার ঢাকায় আসেন?	উঃ ১৬৮০ সালে।			
শায়েস্তা খান মোট কত বছর বাংলায় থাকেন?	উঃ মোট ২৪ বছর।			
শায়েস্তা খান ঢাকায় কোথায় থাকতেন?	উঃ মিডর্ফোড হাসপাতাল প্রাঙ্গনে, বুড়িগঙ্গার তীরে।			
কোন সালে সুবাদার ইসলাম খান ঢাকায় রাজধানী স্থাপন করেন ?	উঃ ১৬১০ সালে।			
কার আমলে লালবাগের শাহী মসজিদ নির্মিত হয় ?	উঃ যুবরাজ মোহাম্মদ আযম- এর আমলে।			
শাহ মোহম্মদ আজম কে ছিলেন?	উঃ সম্রাট আওরঙ্গজেবের তৃতীয় সন্তান।			
শাহ মোহম্মদ আজম কোন সালে লালবাগ দুর্গের কাজ আরম্ভ করেন?	উঃ ১৬৭৮ সালে।			
শাহ মোহম্মদ আজম প্রথমে লালবাগ কেল্লার নামকরণ করেন?	উঃ কিল্লা আওরঙ্গবাদ।			
লালবাগ দুর্গ প্রাঙ্গনের দৈর্ঘ্য কত?	উঃ পূর্ব-পশ্চিমে ১২০০ ফুট ও উত্তর-দক্ষিণে ৮০০ ফুট।			
কাদের রাজত্বকালে বিশ্ব বিখ্যাত মসলিন বস্ত্র তৈরী হত?	উঃ মুঘল আমলে।			
ঈসা খানের রাজধানী কোথায় ছিল ?	উঃ সোনারগাঁয়ে।			
রাজস্ব আদায়ের জন্য কে ইজারাদারী প্রথা প্রবর্তন করেন ?	উঃ মুর্শিদকুলি খান।			
সম্রাট আকবর বাংলা জয় করেন কবে ?	উঃ ১৫৭৬ সালে।			
কত সালে শাহবাজ খান বাংলার সুবাদার নিযু্‌ক্ত হন ?	উঃ ১৮৫৩ সালে।			
চট্টগ্রামের নাম ইসলামাবাদ রাখেন কে?	উঃ শায়েস্তা খান।			
মুঘল সাম্রাজ্যের শৌর্যবীর্যের প্রতীক সম্রাট আকবরের মৃত্যু হয় কোন সালে?	উঃ ১৬০৫ সালে।			
ইসলাম খান কোথা থেকে ঢাকায় রাজধানী স্থাপন করেন?	উঃ রাজমহল থেকে।			
ঢাকার দোলাই খাল কে খনন করেন?	উঃ সুবেদর ইসলাম খান।			
পানিপথের দ্বিতীয় যুদ্ধ অনুষ্ঠিত হয় কোন সালে?	উঃ ১৫৫৬ সালে।			
পানিপথের দ্বিতীয় যুদ্ধ কার কার মধ্যে অনুষ্ঠিত হয়?	উঃ আকবরের সেনাপতি বৈরাম খান ও হিমুর।			
পানিপথের তৃতীয় যুদ্ধ অনুষ্ঠিত হয় কোন সালে?	উঃ ১৭৬১ সালে।			
পানিপথের তৃতীয় যুদ্ধ কাদের মধ্যে অনুষ্ঠিত হয়?	উঃ আহমেদ শাহ আবদালী ও মারাঠাদের।			
শেরশাহ কোন যুদ্ধে হুমায়ুনকে পরাজিত করে দিল্লীর সিংহাসন দখল করেন?	উঃ কনৌজের যু্‌দ্ধ।			
বাংলাকে কে ‘জান্নাতাবাদ’ বলে ঘোষনা করেন?	উঃ সম্রাট হুমায়ুন।			
ভারতবর্ষে ঘোড়ার ডাকের প্রচলন করেন কে?	উঃ শেরশাহ।			
‘গ্রান্ড ট্রাঙ্ক রোড’ কে নির্মান করেন?	উঃ শেরশাহ।			
‘দাম’ নামক মুদ্রা দিল্লীর কোন সুলতানের সময় প্রচলিত ছিল?	উঃ শেরশাহ।			
আকবর দিল্লীর সিংহাসনে বসার সময় তার বয়স কত?	উঃ ১৩ বছর।			
সম্রাট আকবরের প্রবর্তিত ধর্মের নাম কি?	উঃ দীন-ই-ইলাহী।			
কার আমলে সমগ্র বাংলা ‘সুবহ-ই-বাঙ্গালাহ’ নামে পরিচিক ছিল?	উঃ সম্রাট আকবর।			
কোন মুঘল সম্রাট ‘জিজিয়া কর’ রহিত করেন?	উঃ সম্রাট আকবর।			
সম্রাট আকবরের রাজস্ব মন্ত্রী কে ছিলেন?	উঃ টোডরমল।			
‘অমৃতসর’ স্বর্ণ মন্দির কোন সম্রাটের আমলে তৈরী হয়?	উঃ সম্রাট আকবরের।			
কোন মোঘল সম্রাট ‘বুলান্দ দরওয়াজা’ নির্মান করেন?	উঃ সম্রাট আকবর।			
আকবর কোন রাজপুত রমনীর পাণি গ্রহন করেছিলেন?	উঃ জোধা বাঈ।			
সম্রাট আকবরের সমাধি কোথায় অবস্থিত?	উঃ সেকেন্দ্রায়।			
কোন মুঘল সম্রাট Prince of Builders নামে খ্যাত?	উঃ সম্রাট শাহজাহান।			
দিল্লীর ‘দেওয়ান-ই-আম’ ও ‘দেওয়ান-ই-খাস’ নির্মান করেন কে?	উঃ সম্রাট শাহজাহান।			
আগ্রার জামে মসজিদ নির্মান করেন কে?	উঃ সম্রাট শাহজাহান।			
ময়ূর সিংহাসনের নির্মাতা কে ছিলেন ?	উঃ সম্রাট শাহজাহান।			
ময়ূর সিংহাসন কে লুন্ঠন করেন?	উঃ পারস্যের নাদির শাহ (১৭৩৯)।			
ময়ূর সিংহাসন বর্তমানে রক্ষিত আছে?	উঃ ইরানে।			
দিল্লীর লাল কেল্লা কে নির্মান করেন?	উঃ শাহজাহান।			
সর্বশেষ মোগল সম্রাট কে?	উঃ দ্বিতীয় বাহাদুর শাহ।			
সম্রাট দ্বিতীয় বাহাদুর শাহের সমাধি কোথায় অবস্থিত?	উঃ রেঙ্গুনে (ইয়াঙ্গুন), মায়ানমার।			
মারাঠা বংশের শ্রেষ্ঠ নরপতি কে ছিলেন?	উঃ শিবাজী।			
শিবাজীর তরবারির আঘাতে কার আঙ্গুল কাটাঁ যায়?	উঃ শায়েস্তা খানের।			
হুসেনী দালাল (ইমাম বাড়ি) কে নির্মান করেন?	উঃ মীর মুরাদ।			
ঢাকার সাত গম্বুজ মসজিদ কবে কে, নির্মান করেন?	উঃ ১৬৮০ সালে, নবাব শায়েস্তা খাঁ।			
কোন মুঘল সুবাদার ঢাকার নাম জাহাঙ্গীর নগর রাখেন?	উঃ ইসলাম খান।			
বাংলার বার ভুইয়ার মধ্যে শ্রেষ্ঠ ভুঁইয়া কে?	উঃ ঈসা খান।			
কে বাংলার রাজধানী রাজমহল থেকে ঢাকায় নিয়ে আসেন?	উঃ মীর জুমলা।			
কার রাজত্বকালে মুর্শিদকুলী খান বাংলার দেওয়ান নিযুক্ত হন?	উঃ আওরঙ্গজেব।			
কোন সম্রাটের মৃত্যুর পর মুর্শিদকুলী খান স্বাধীনভাবে বাংলাদেশ শাসন করেন?	উঃ আওরঙ্গজেব।			
কোন মুঘল সুবেদার পর্তুগ্রীজদের চট্টগ্রাম থেকে বিতাড়িত করেন?	উঃ শায়েস্তা খান।			
মুর্শিদকুলী খান কত সালে ইন্তেকাল করেন?	উঃ ১৭২৭ সালে।			
বাংলার প্রথম স্বাধীন নবাব কে ছিলেন?	উঃ মুর্শিদকুলী খান।			
বাংলার শেষ স্বাধীন নবাব কে ছিলেন?	উঃ সিরাজউদ্দৌলা।			
বড় কাটরা কত সালে নির্মিত হয়?	উঃ ১৬৪৪ সালে।			
বড় কাটরা কার আমলে নির্মিত হয়?	উঃ সুবেদার ইসলাম খান।			
বাংলার কোন সুুবেদার আরাকান জঙ্গলে নিখোঁজ হন?	উঃ শাহ মোহাম্মদ সুজা।			
মূঘল সুবেদারদের প্রথম রাজধানী কোথায় ছিল?	উঃ মুর্শিদাবাদ।
বাংলায় ইউরোপীয় বণিকদের মধ্যে কারা প্রথম এসছিলো ?	উঃ পর্তুগীজরা।			
পতুগীজ নাবিক ভাস্কো-ডা-গামা ভারতবর্ষে আসেন কত সালে ?	উঃ ১৪৯৮ সালে।			
ইউরোপ থেকে সমুদ্র পথে ভারতবর্ষে আসার পথ আবিস্কৃত হয় কত সালে ?	উঃ ১৪৮৭ সালে।			
পর্তুগীজরা কবে বাংলায় ব্যবসা বাণিজ্য আরম্ভ করে ?	উঃ ১৫৮০ সালে।			
পর্তুগ্রীজদের পর কারা বানিজ্যের জন্য বাংলায় আসে?	উঃ ওলন্দাজরা।			
‘ইউনাইটেড ইস্ট ইন্ডিয়া কোম্পানী’ কারা, কবে গঠন করেন?	উঃ ওলন্দাজগণ, ১৬০২ সালে।			
